id;cat_name;count
1104;(Архив) Земельные участки в неразграниченной собственности;122447
1106;Земельные участки, выставляемые на торги, в разрезе этапов прохождения торгов;10
1107;(Архив) Итоги приватизации объектов недвижимости города Москвы;217
1108;(Архив) Итоги проведения торгов на право заключения договоров по аренде объектов недвижимости;103
1110;(Архив) Итоги проведения торгов по продаже пакетов акций;31
1112;(Архив) Пакеты акций в собственности города Москвы;158
1113;(Архив) Перечень объектов на право заключения договоров аренды объектов недвижимости;67
1114;(Архив) Перечень объектов по продаже пакетов акций;30
1115;(Архив) Приватизация объектов недвижимости города Москвы;176
1122;Рекламные конструкции на территории города Москвы;12317
1124;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2006 год;40
1125;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2007 год;39
1126;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2008 год;45
1127;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2009 год;49
1128;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2010 год;46
1129;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2011 год;51
1130;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2012 год;71
1131;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2013 год;372
1132;Поисково-спасательные станции на водных объектах;25
1133;Учебно-методические центры по гражданской обороне и чрезвычайным ситуациям;12
1135;Учебно-консультационные пункты по гражданской обороне и чрезвычайным ситуациям;222
1136;Территориальные подразделения Департамента по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы;11
1147;Электронная нотная библиотека города Москвы;3172
1148;Фильмофонд «Московское кино»;1972
1181;Образовательные учреждения;388
1185;Реестр лицензий на деятельность по обороту наркотических средств, психотропных веществ и их прекурсоров, выданных органами исполнительной власти субъектов Российской Федерации, осуществляющими переданные полномочия Российской Федерации в области охраны здоровья граждан;1800
1188;Реестр лицензий на фармацевтическую деятельность, выданных органами исполнительной власти субъектов Российской Федерации, осуществляющими переданные полномочия Российской Федерации в области охраны здоровья граждан;17698
1189;Реестр лицензий на медицинскую деятельность, выданных органами исполнительной власти субъектов Российской Федерации, осуществляющими переданные полномочия Российской Федерации в области охраны здоровья граждан;42458
1191;Реестр утверждённых проектов планировки территорий;615
1193;Ветеринарные учреждения;31
1200;Информация о территориальных подразделениях Департамента городского имущества города Москвы;11
1201;(Архив) Прогнозируемый общий объем доходов бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о бюджете города Москвы от 21.11.2012 г. № 59;1
1202;(Архив) Расходы бюджета города Москвы по финансовому обеспечению государственных программ, подпрограмм города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о бюджете города Москвы от 21.11.2012 г. № 59;106
1203;(Архив) Источники финансирования дефицита бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о бюджете города Москвы от 21.11.2012 г. № 59;18
1204;(Архив) Прогнозируемый общий объем доходов бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о внесении изменений в закон о бюджете города Москвы от 02.10.2013 г. № 52;5
1205;(Архив) Ведомственная структура расходов бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о внесении изменений в закон о бюджете города Москвы от 02.10.2013 г. № 52;7566
1206;(Архив) Расходы бюджета города Москвы по финансовому обеспечению государственных программ (в 2013 году);107
1207;(Архив) Источники финансирования дефицита бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о внесении изменений в закон о бюджете города Москвы от 02.10.2013 г. № 52;18
1208;(Архив) Ведомственная структура расходов бюджета города Москвы на 2013 года и плановый период 2014 и 2015 годов в соответствии с законом о бюджете города Москвы от 21.11.2012 г. № 59;7200
1231;(Архив) Открытые ледовые катки;1362
1232;Ледовые поля (крытые);80
1233;(Архив) Лыжные трассы города Москвы;391
1241;(Архив) Ёлочные базары;204
1242;(Архив) Рождественский фестиваль;81
1243;(Архив) Выставки ледяных скульптур;3
1244;(Архив) Горнолыжные склоны;19
1245;(Архив) Ледяные горки в парках;43
1246;(Архив) Лыжные базы;19
1247;(Архив) Оборудованные места для зимнего купания в парках;9
1248;(Архив) Места для зимней рыбалки в парках;3
1249;(Архив) Площадки для кёрлинга;7
1250;(Архив) Площадки для сноуборда;2
1251;Площадки спортивные универсальные в парках;4652
1252;(Архив) Снежные горки в парках;18
1253;(Архив) Снежные городки;19
1254;(Архив) Трассы для снегоходов, квадроциклов, ездовых упряжек и прочего;6
1255;Универсальные зоны отдыха в парках;10
1256;Центры здоровья;62
1257;Дневные стационары;150
1258;Центры спортивной медицины и реабилитации;12
1259;Специализированные медицинские учреждения;39
1260;Травматологические пункты;74
1261;Перечень адресов ключевых торговых площадок города Москвы;104
1262;Результаты торгов в разрезе органов исполнительной власти города Москвы;230113
1281;(Архив) Список площадок для запуска фейерверков в Новогодние и Рождественские праздники;106
1301;Перечень аптечных организаций, имеющих право на обеспечение отдельных категорий граждан лекарственными препаратами и изделиями медицинского назначения по рецептам врачей бесплатно или с 50-процентной скидкой;345
1342;Штабы городских народных дружин;131
1343;(Архив) Органы исполнительной власти города Москвы;180
1344;Выходы из пешеходных тоннелей;1554
1345;(Архив) Места проведения праздничных мероприятий, посвященных Масленице;55
1346;(Архив) Места проведения артиллерийских салютов и фейерверков в День Победы 9 мая;16
1362;Сведения о вакантных рабочих местах для инвалидов и лиц с ограниченными возможностями, предоставленные работодателями в Службу занятости населения города Москвы;904
1381;(Архив) Весенние фестивали;54
1384;Автодромы спортивные крытые;14
1385;Автодромы спортивные открытые;11
1386;Места катания на лошадях;4
1387;Скалодромы крытые;30
1388;Скалодромы открытые;11
1389;Детские игровые площадки в парках;475
1401;(Архив) График отключения горячей воды;71529
1421;Парковочные автоматы;958
1441;Места для кайтинга (вейкбординга);7
1461;Перечень приватизируемых объектов в разрезе этапов прохождения торгов;11478
1462;Перечень объектов по продаже пакетов акций в разрезе этапов прохождения торгов;7
1463;Перечень объектов на право заключения договоров аренды объектов недвижимости в разрезе этапов прохождения торгов;2158
1464;(Архив) Коворкинги;164
1465;Парковые территории;1105
1469;(Архив) Места для активного отдыха;21
1470;(Архив) Летние кинотеатры;11
1493;Организации для детей-сирот и детей, оставшихся без попечения родителей;28
1494;Туалетные модули;415
1495;ТОП-30 предприятий по объемам выставленных штрафных санкций;30
1496;(Архив) Бахчевые развалы;199
1497;Земельные участки в собственности города Москвы и неразграниченной собственности;109819
1498;Реестр камер дворового видеонаблюдения;20018
1499;Реестр часов;1082
1500;Реестр камер подъездного видеонаблюдения;99692
1533;(Архив) Тарифы на коммунальные услуги для населения города Москвы на 2014 год;364
1534;(Архив) План обустройства территорий транспортно-пересадочных узлов в 2014 году;28
1536;(Архив) План работ по благоустройству территории вдоль вылетных магистралей в 2014 году;222
1537;(Архив) Капитальный ремонт и ремонт фасадов жилых домов в 2014 году;211
1538;(Архив) План установки подъемных платформ для маломобильных групп населения в жилых домах в 2014 году;74
1539;(Архив) План замены лифтов в жилых домах в 2014 году;4150
1541;(Архив) Места проведения фестиваля «Московское Варенье»;32
1542;Контракты малого объема;706642
1543;(Архив) Оферты поставщиков;2368195
1561;Структурные подразделения Объединения административно-технических инспекций города Москвы;10
1562;Структурные подразделения Гостехнадзора города Москвы;10
1581;Торгово-сервисные предприятия, предоставляющие скидки на товары и услуги держателям социальных карт;6214
1607;Реестр оформленных паспортов колористического решения фасадов зданий, строений, сооружений ;7069
1608;Реестр согласованных дизайн-проектов размещения вывесок;4226
1622;(Архив) Реестр объектов, возводимых в рамках 214-ФЗ;106
1641;Реестр учреждений города Москвы;2093
1661;Общественные пункты охраны порядка;790
1662;(Архив) Места для активного отдыха зимой;22
1663;(Архив) Крещенские купели;51
1681;Платные парковки закрытого типа;98
1682;(Архив) Зоны платной парковки;146
1765;(Архив) Ремонт, окраска и пошив обуви;526
1766;(Архив) Иные объекты бытового обслуживания;910
1767;(Архив) Услуги бань;69
1768;(Архив) Парикмахерские и косметические услуги;6186
1769;(Архив) Комплексные предприятия бытового обслуживания;743
1770;(Архив) Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники;572
1771;(Архив) Ремонт ювелирных изделий;179
1772;(Архив) Прачечные;83
1773;(Архив) Ломбарды;479
1774;(Архив) Сауны;171
1775;(Архив) Ремонт и изготовление металлоизделий;272
1776;(Архив) Ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий;1275
1777;(Архив) Услуги проката;25
1778;(Архив) Фотоателье, фото- и кинолаборатории, фотоуслуги;963
1779;(Архив) Химическая чистка и крашение;523
1780;(Архив) Изготовление и ремонт мебели;73
1781;(Архив) Прачечные самообслуживания;21
1782;(Архив) Ритуальные и обрядовые услуги;38
1783;(Архив) Химчистки самообслуживания;22
1784;(Архив) Буфеты;632
1785;(Архив) Ремонт часов;214
1786;(Архив) Кофейни;0
1787;(Архив) Единые производственно-хозяйственные комплексы предприятий питания;6
1788;(Архив) Рестораны;2209
1789;(Архив) Кафе детские, молодежные и семейного досуга;92
1790;(Архив) Магазины кулинарии;374
1791;(Архив) Специализированные цеха;73
1792;(Архив) Кафе;6331
1793;(Архив) Столовые;2350
1794;(Архив) Кафетерии;768
1795;(Архив) Комбинаты питания;33
1796;(Архив) Бары;1000
1797;(Архив) Предприятия быстрого обслуживания;2354
1798;(Архив) Закусочные;474
1799;(Архив) Магазины «Колбасы»;512
1800;(Архив) Магазины «Мясо»;500
1801;(Архив) Прочие специализированные продовольственные предприятия торговли;1822
1802;(Архив) Каскеты (бутики для среднего класса);46
1803;(Архив) Магазины «Спорт и туризм»;503
1804;(Архив) Магазины «Хозяйственные товары»;998
1805;(Архив) Магазины «Цветы»;1689
