Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
58.52589	31.27429	Бавария	Большая Санкт-Петербургская, 21, Великий Новгород 173001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.537083	31.271221	Лофт бар «ДОМ БЫТА»	Набережная реки Гзень, 5, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.545563	31.245146	Bar XXX	Александра Корсунова проспект, 14a, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.38763	33.90541	Летний сад	Проезд Гагарина, 4, Боровичи 174411 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53638	31.29192	Шкипер	Студенческая, 2а, Великий Новгород 173020 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53879	31.27152	Кафе на Великой	ул. Великая, д. 23, Великий Новгород Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.524178	31.241968	Кафе "ПАПОРОТНИК"	Нехинская, 8, Великий Новгород 173021 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.520763	31.282722	Ресторан Русская Душа	наб. Александра Невского, 22/1, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.5236	31.28569	Арго	Набережная Александра Невского, 28, Великий Новгород 173004 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.97353	33.25793	Флагман	Советский Проспект, 27, Валдай 175400 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52632	31.2806	Чайная Ложка	Великая, 22а, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.99739	31.3616	Кулинария	ул. Минеральная, 45А, Старая Русса 175202 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.97789	33.25737	Кафе Горянка	ул. Луначарского, 5б, Валдай 175400 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.54205	31.22419	Камелот	ул. Кочетова, д. 10, Великий Новгород 173024 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.978428	33.253662	Урарту	ул. Октябрьская, 2, Валдай 175400 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.514973	31.235443	Кофемолка	Октябрьская 1/1 неверно указан на карте города, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.521965	31.268806	Кафе-Бар Beavers	ул. Мерецкова-Волосова,  1/1, Великий Новгород 173007 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.39158	33.908146	EatWellCafe	Коммунарная, 63, Боровичи 174411 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53858	31.29297	Золотая Подкова	Парковая, 5 к1, Великий Новгород 173014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.390163	33.90784	Рестобар ЮлА	Дзержинского, 8, Боровичи 174411 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52181	31.26978	На Причале	Софийская Набережная, 3, Великий Новгород 173007 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Макдоналдс	Большая Санкт-Петербургская, 61, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.517593	31.246136	Доминион	Октябрьская, 10а, Великий Новгород 173015 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.530792	31.232449	KFC	Мира проспект, 33/1, Великий Новгород 173021 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.796036	33.38509	Любытино-Хутор	п. Любытино Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.538143	31.264107	КофеМолка	ул.  Большая Санкт-Петербургская, 39к, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52572	31.273806	Кофейня Монокль	Большая Санкт-Петербургская, д. 1/7, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.518143	31.286741	Кафе Jazz & Blues	ул. Большая Московская, 14, Великий Новгород Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52181	31.26978	Екатерининская горка	Софийская Набережная, 1а, Великий Новгород 173007 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52735	31.30128	Крафти Пицца	Народная, 8а, Великий Новгород 173014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.49733	31.21233	Марвел	ул. Речная, 8, Великий Новгород 173009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53177	31.23413	Альянс	Попова, 10, Великий Новгород 173025 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.53633	31.29226	Ладья	ул. Антоново, д. 3/1, Великий Новгород 173014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
59.123055	31.63824	Бургер-Кинг	581-й км автодороги Москва - Санкт-Петербург, Чудово 174210 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Полюс	Большая Санкт-Петербургская, 62, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Тысяча и одна ночь	Большая Санкт-Петербургская, 42, Великий Новгород 173003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.54641	31.230764	Буги Вуги	Кочетова 1А, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.98656	33.2556	Лукоморье	ул. Ломоносова, 70, Валдай 175400 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
56.359158	44.052254	Coffee Like	улица Ленина, 113Б, Бор 606440 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52007	31.26814	Столовая	Прусская, 24, Великий Новгород 173015 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52834	31.293465	Счастливая Пекарня	Большая Московская, 35/10, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52589	31.27429	Матрешка	ул. Большая Санкт-Петербургская, д. 102, Великий Новгород 173008 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.5652	31.2816	Кураж	Щусева, 12 корп. 1, Великий Новгород 173008 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52273	31.24465	А.З.С.	Нехинская, 32, Великий Новгород 173021 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.6009	35.82284	Суши Фуд	Устюженское шоссе, д. 2, Пестово 174511 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.010586	33.090454	2СВ2	М10, Nemchinova Gora 175431 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.38898	33.91844	КофеМолка	Алексея Кузнецова, 64а, Боровичи 174411 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.39038	33.910652	Счастливая Пекарня	Подбельского, 3б, Боровичи 174411 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.3925	33.906647	Giza	Sushanskaya, 6b, Боровичи 174403 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
