Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
55.754227	37.622917	Столовая 57	Krasnaya Sq., 3 ГУМ, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.757675	37.618553	La Bottega Siciliana	ул. Охотный Ряд, 2, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74783	37.581287	Зодиак	Смоленская пл. 3, 1 этаж, Москва 121099 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.605133	37.49156	Швили	Калужское шоссе 21 км ТЦ МЕГА Теплый Стан, Москва 142704 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75709	37.613113	O2 Lounge	Тверская ул., 3 г-ца Ритц-Карлтон, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.756264	37.61442	Белуга	ул.  Моховая, 15/1, стр. 1 Гостиница "Националь", 2 этаж, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.103622	38.75477	Намёки	ул. Лажечникова, 5, Коломна 140400 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.77591	37.586098	Кафе Саперави	1-я Тверская-Ямская ул., 27, Москва 125047 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76171	37.6517	Ю-МЭ	ул. Покровка, д. 38А м. Китай-город, Москва 105062 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.67312	37.664276	Кофейня Капучинофф	Проспект Андропова, 37 1 Floor, Москва 115487 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.747417	37.651104	Дарбази	ул. Николоямская, 16, Москва 109240 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.70604	37.51098	Стейк Хаус Бутчер	Мичуринский проспект, д.8, стр. 2, Москва 119192 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.913048	36.860733	Семейное кафе "Дача"	Адасько, 11, Истра 143500 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.768776	37.623074	Пробка на Цветном	Цветной бульвар, 2, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.73842	37.61462	Машрумс	Большая Якиманка, 22, Москва 119180 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
56.31177	38.13687	Кафе "Ландау"	Ул. Карла Маркса, 7, Сергиев Посад 141310 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76182	37.635555	Одесса-Мама	Кривоколенный переулок, 10, стр. 5, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74505	37.627186	Masters&Margaritas	ул. Пятницкая,  5, Москва 115035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.782486	37.599937	Коптильня	Новослободская, 18, Москва 127055 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.764046	37.617676	Бараshка	Петровка ул., д. 20/1, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.705986	37.731064	Сытый лось	ул. Люблинская, 4а, Москва 109125 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.78492	37.661102	АндерСон	В. Красносельская д. 7/2, Москва 107140 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74292	37.628326	Корчма Тарас Бульба	ул. Пятницкая 14 м. Новокузнецкая, Москва 115035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.756657	37.62701	Траппист	Большой Черкасский пер., 15-17, с.1, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.73953	37.411064	Хачапури	ул. Ярцевская, 19, Москва 121552 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.754234	37.621826	Боско Мишка бар	Красная площадь, 3, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.7704	37.58174	Молон Лаве	ул. Большая Грузинская, 39, Москва 123056 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.756935	37.614517	Гранд Кафе Dr. Живаго	ул. Моховая, 15/1 Гостиница "Националь", Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.700405	37.512573	Гастропаб Pauwel KWAK	Мичуринский пр-кт, 7/1, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.7628	37.613327	Rose Bar Moscow	ул. Большая Дмитровка, д. 20, стр. 1, Москва 107031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.65015	37.74554	Саперави	ул. Люблинская, 165/1, Москва 109652 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.792294	37.70962	Траттория  "EVI"	ул. Буженинова, 30/3, Москва 107023 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.763046	37.59711	Рецептор	Большой Козихинский переулок, 10, Москва 123104 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76214	37.620068	The White Hart Pub	ул. Неглинная, 10, Москва 107031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.773914	37.586407	[KU:]  рамен изакая бар	Большая Грузинская, 69, Москва 123056 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.847523	37.476036	Стейк'S	Ленинградское шоссе, 80/1, Москва 125565 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.754356	37.654007	Брассери Ламбик	Воронцово Поле ул., 11/32, Москва 105062 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.77162	37.59327	Чайхона №1	ул. 1-я Тверская-Ямская, д. 7, Москва 125047 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.7466	37.421783	АндерСон	Рублевское шоссе, 28/1, Москва 613310 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.761677	37.63576	Хачапури	Кривоколенный переулок, 10 стр 5, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.77895	37.633484	Кавказская пленница	Мира проспект, д. 36, Москва 129090 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.77771	37.61766	Итальянец	ул. Самотёчная, 13, Москва 127473 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.759445	37.58176	Balzi Rossi Restaurant	Кудринская пл., 1, Москва 123242 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.758396	37.61189	Волки&Елки	Тверская, 7, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.770107	37.64663	Бельгийская  брассери '0.33'	ул. Садовая-Спасская, 17/2 Вход с Орликова пер., Москва 107078 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75251	37.62306	Кофе Хауз	пл. Красная, 3/2/2/1 ГУМ, Москва 495 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75489	37.56044	Бочка	1905 Года ул., д. 2, Москва 123022 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.748093	37.53729	Мясо&Рыба	Пресненская Набережная, 2 ТРЦ «Афимолл Сити», 5-й этаж, Москва 123100 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.754093	37.64118	Ноев ковчег	Малый Ивановский пер., 9, Москва 109028 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.760597	37.647217	Кафе Рецептор	Чистопрудный бульвар, 23/2 m. Chistyye prudy , m. Sretinskiy bul'var m.Turgenevskaya, Москва 105062 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.773502	37.586388	Corner	Большая Грузинская ул., 76, Москва 125047 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.75475	37.620174	Bosco Cafe	Красная площадь, 3, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
