Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
61.78804	34.37614	MamaRoom	Кирова, 24, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Yes Pizza	Ленина проспект, 14, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78646	34.39186	ПитСервис	Набережная Гюллинга, 13, Петрозаводск 185005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78148	34.36383	Петрозаводское ГОРПО	Антикайнена, 34, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.75933	34.31717	Good Meal	Интернационалистов бульвар, д. 17а, Петрозаводск 185016 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.7914	34.375546	Кафе Корсика	ул. Куйбышева, 9, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.79223	34.36337	Гермес	Красная, 31, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Макдоналдс	Ленина проспект, 14, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.21086	34.25716	Truck Stop КАРЕЛИЯ	Петрозаводское шоссе,  д. 9, Кондопога 186220 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78308	34.37938	Fellini	Льва Толстого, 8, Петрозаводск 185003 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78475	34.39071	Набережная	ул. Луначарского, д. 1, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
64.58961	30.599018	кафе Европа	пр. Горняков 2В, Костомукша Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778667	34.366062	Баскин Роббинс	Маршала Мерецкова, 11, Петрозаводск 185030 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.75791	34.360424	Тик Тайм	пр-кт Карельский,  20, Петрозаводск 185026 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78942	34.33076	Караван	Муезерская, 15а/7, Петрозаводск 185002 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77524	34.29531	KFC	Университетская, 1, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
63.74339	34.31371	Оазис	Ул. Мира, Сегежа Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78804	34.37614	Чистый Вкус	Кирова, 19, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778667	34.366062	Мираж Синема	Маршала Мерецкова, 11, Петрозаводск 185030 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.75933	34.31717	SALAD Cafe	Бул. Интернационалистов, 13, Петрозаводск 185016 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77739	34.34029	Кафе Алаверди	Лососинское ш., 26, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77873	34.35537	Абажур	Красноармейская, 31, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.20799	34.26818	Марио	пер.Гористый 21, Кондопога Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.68797	33.61426	Старая кузница	Трасса Р21, Пряжа 186120 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778667	34.366062	Трюфель	Маршала Мерецкова, 11, Петрозаводск 185030 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78646	34.39186	Бар на Набережная Гюллинга	Набережная Гюллинга, 2, Петрозаводск 185005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
