Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
53.042934	49.928	Янтарь	Новокуйбышевское лесничество, 2, Новокуйбышевск 446200 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.0418	49.928265	Дубки	Новокуйбышевское лесничество, 6, Новокуйбышевск 446200 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.50183	49.42302	Гостевые Апартаменты Тольятти	бульвар Ленина, д. 23, Тольятти 445021 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.38552	50.17065	База отдыха "Ивушка"	пос. Красная Глинка, Самара Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.12805	50.21946	12 месяцев везения	75 квартал пригородного лесничества, Самара 443012 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.17537	48.49031	Гостиница Престиж	ул. Елизарова, 49, Сызрань 446010 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.34351	50.21086	У Сокольих Гор	ул. 8 Марта, д. 8, Самара 443026 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.453323	49.53473	Ветерок	Бурлацкая, 23, Тольятти 445091 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.57306	49.01892	Дубки У Валентины	Ягодинское лесничество, 3, Ягодное, Тольятти Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.11508	50.0653	Заречье	ул. Грозненская, д. 20, Самара 443004 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.455055	50.126247	Визит	3-й км Автодороги Волжский - Аэропорт, Самара 446368 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18318	50.12736	Отдых	ул. Неверова, д. 168, Самара 443036 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.21857	50.25369	Прогресс отель	Свободы улица, д. 107Б, Самара 443009 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.30262	50.22871	База отдыха "Ягодное"	с. Хилково, Самара Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.483147	49.85107	База отдыха "Калинка"	ул. Прибрежная, 1Д, Прибрежный 676885 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.20581	50.175022	Зеленый Яр	Красноярский район, село Екатериновка, Самара Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.25382	50.20004	Волга	7-я просека, 1, Самара 443029 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.5114	49.307	Алтек	ул. Жукова, д. 13, Тольятти 445051 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.43214	50.07509	Мини-гостиница "Золотой Берег"	Бережок-13, Волжский 446394 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.35467	49.297497	Baza Otdykha Privol'ye	Samarskaya Obl Stavropol'skiy R-n, Жигули 445163 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
