с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
8436257,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Смотровая,"ул. Высотная, д. 35, Петропавловск-Камчатский Россия",53.017097,158.6603
8666036,2020-12-15,Камчатский край,Елизово,Отели,,,Привокзальная гостиница,"ул. Звёздная, 5, Елизово Россия",53.16753,158.42146
10644245,2020-12-15,Камчатский край,п. Ключи,Отели,,,Вулканолог,"ул. Вулканостанция, д. 5, п. Ключи 684400 Россия",56.317207,160.85663
12717282,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Hostel Kamchatka-Wild Tours,"Ulitsa Tushkanova 12 office 2, Петропавловск-Камчатский 683031 Россия",53.06377,158.6285
17768838,2020-12-15,Камчатский край,Паратунка,Отели,,,Тайны Камчатки,"Елизова, 6, Паратунка 684034 Россия",52.96394,158.25388
12406378,2020-12-15,Камчатский край,Елизово,Отели,,,Хостел Парк,"ул. Магистральная, 55, Елизово 684005 Россия",53.156567,158.43484
12201156,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Mini Hotel Amto,"Prospekt Rybakov 1, Петропавловск-Камчатский 683024 Россия",53.05579,158.6379
21211494,2020-12-15,Камчатский край,Елизово,Отели,,,Гостевой дом Сердце вулкана,"Винокурова,  1а, Елизово Россия",53.206905,158.41272
8105598,2020-12-15,Камчатский край,Паратунка,Отели,,,Gostevaya Usadba Country,"Ulitsa Nagornaya 7, Паратунка 684034 Россия",53.14636,158.36691
8517868,2020-12-15,Камчатский край,Быстринский район,Отели,,,Гостевой Дом Грушанка,"Переулок Медвежий Угол 5, Эссо 684350 Россия",55.918728,158.70102
6620333,2020-12-15,Камчатский край,Елизово,Отели,,,"Гостевой домик ""Росомаха""","24 км объездной дороги Петропавловск-Елизово, Елизово Россия",52.963177,158.25856
15122413,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Ключотель,"Вилюйская, 111, Петропавловск-Камчатский 683003 Россия",53.040913,158.67772
12927167,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,АТМОСФЕРА,"ул. Вилюйская, д. 15, Петропавловск-Камчатский 683003 Россия",53.034737,158.64081
6874265,2020-12-15,Камчатский край,Паратунка,Отели,,,Березка,"ул. Коркина, д. 1 Камчатский край, Паратунка 684034 Россия",53.15238,158.37077
6885803,2020-12-15,Камчатский край,Елизово,Отели,,,Гостевые Домики Деревенька,"мкр. Молодежный, д. 27 п. Светлый, Елизово 684017 Россия",52.963177,158.25856
12920356,2020-12-15,Камчатский край,Паратунка,Отели,,,Лесная поляна,"ул. Крашенинникова, 21, Паратунка 684035 Россия",52.949593,158.24838
