с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Новгородская область,Старая Русса,Рестораны,,,Кулинария,"ул. Минеральная, 45А, Старая Русса 175202 Россия",57.99739,31.3616
2020-10-22,Новгородская область,Валдай,Рестораны,,Кафе,Кафе Горянка,"ул. Луначарского, 5б, Валдай 175400 Россия",57.97789,33.25737
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Паб,Камелот,"ул. Кочетова, д. 10, Великий Новгород 173024 Россия",58.54205,31.22419
2020-10-22,Новгородская область,Валдай,Рестораны,,,Урарту,"ул. Октябрьская, 2, Валдай 175400 Россия",57.978428,33.253662
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Кофемолка,"Октябрьская 1/1 неверно указан на карте города, Великий Новгород 173000 Россия",58.514973,31.235443
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Кафе-Бар Beavers,"ул. Мерецкова-Волосова,  1/1, Великий Новгород 173007 Россия",58.521965,31.268806
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,EatWellCafe,"Коммунарная, 63, Боровичи 174411 Россия",58.39158,33.908146
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Золотая Подкова,"Парковая, 5 к1, Великий Новгород 173014 Россия",58.53858,31.29297
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Рестобар ЮлА,"Дзержинского, 8, Боровичи 174411 Россия",58.390163,33.90784
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,На Причале,"Софийская Набережная, 3, Великий Новгород 173007 Россия",58.52181,31.26978
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Макдоналдс,"Большая Санкт-Петербургская, 61, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Доминион,"Октябрьская, 10а, Великий Новгород 173015 Россия",58.517593,31.246136
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,KFC,"Мира проспект, 33/1, Великий Новгород 173021 Россия",58.530792,31.232449
2020-10-22,Новгородская область,п. Любытино,Рестораны,,,Любытино-Хутор,п. Любытино Россия,58.796036,33.38509
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,КофеМолка,"ул.  Большая Санкт-Петербургская, 39к, Великий Новгород 173003 Россия",58.538143,31.264107
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Кофейня Монокль,"Большая Санкт-Петербургская, д. 1/7, Великий Новгород 173000 Россия",58.52572,31.273806
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Бар,Кафе Jazz & Blues,"ул. Большая Московская, 14, Великий Новгород Россия",58.518143,31.286741
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Екатерининская горка,"Софийская Набережная, 1а, Великий Новгород 173007 Россия",58.52181,31.26978
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Крафти Пицца,"Народная, 8а, Великий Новгород 173014 Россия",58.52735,31.30128
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Марвел,"ул. Речная, 8, Великий Новгород 173009 Россия",58.49733,31.21233
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Альянс,"Попова, 10, Великий Новгород 173025 Россия",58.53177,31.23413
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Ладья,"ул. Антоново, д. 3/1, Великий Новгород 173014 Россия",58.53633,31.29226
2020-10-22,Новгородская область,Чудово,Рестораны,,,Бургер-Кинг,"581-й км автодороги Москва - Санкт-Петербург, Чудово 174210 Россия",59.123055,31.63824
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Полюс,"Большая Санкт-Петербургская, 62, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Тысяча и одна ночь,"Большая Санкт-Петербургская, 42, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Буги Вуги,"Кочетова 1А, Великий Новгород 173000 Россия",58.54641,31.230764
2020-10-22,Новгородская область,Валдай,Рестораны,,Кафе,Лукоморье,"ул. Ломоносова, 70, Валдай 175400 Россия",57.98656,33.2556
2020-10-22,Новгородская область,Бор,Рестораны,,,Coffee Like,"улица Ленина, 113Б, Бор 606440 Россия",56.359158,44.052254
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Столовая,"Прусская, 24, Великий Новгород 173015 Россия",58.52007,31.26814
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Счастливая Пекарня,"Большая Московская, 35/10, Великий Новгород 173000 Россия",58.52834,31.293465
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Матрешка,"ул. Большая Санкт-Петербургская, д. 102, Великий Новгород 173008 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Кураж,"Щусева, 12 корп. 1, Великий Новгород 173008 Россия",58.5652,31.2816
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",А.З.С.,"Нехинская, 32, Великий Новгород 173021 Россия",58.52273,31.24465
2020-10-22,Новгородская область,Пестово,Рестораны,,,Суши Фуд,"Устюженское шоссе, д. 2, Пестово 174511 Россия",58.6009,35.82284
2020-10-22,Новгородская область,Nemchinova Gora,Рестораны,,,2СВ2,"М10, Nemchinova Gora 175431 Россия",58.010586,33.090454
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,КофеМолка,"Алексея Кузнецова, 64а, Боровичи 174411 Россия",58.38898,33.91844
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Счастливая Пекарня,"Подбельского, 3б, Боровичи 174411 Россия",58.39038,33.910652
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Giza,"Sushanskaya, 6b, Боровичи 174403 Россия",58.3925,33.906647
2020-10-22,Новгородская область,Малая Вишера,Рестораны,,,Кафе БургерФорт,"49К-13, Малая Вишера Россия",58.843407,32.22584
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Кафе Ледового дворца Металлург,"Ленинградская, 76, Боровичи 174411 Россия",58.389473,33.891006
2020-10-22,Новгородская область,Валдай,Рестораны,,,Суши Фуд,"пр. Комсомольский, 61, Валдай 175400 Россия",57.97484,33.25477
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Arigato,"Большая Московская, 20, Великий Новгород 173000 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Диалог,"ул. Большая Московская, 37, Великий Новгород 173004 Россия",58.51617,31.28572
