с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
3770594,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Корейский ресторан Белый журавль и магазин,"Фрунзенская набережная, д. 14/1, Москва 119146 Россия",55.730984,37.59343
10663328,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Вино и краб,"Никольская улица, 19-21/1, Москва 109012 Россия",55.758476,37.623623
8520579,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Winil Wine Bar,"Зубовская улица, 5/36, Москва 119034 Россия",55.737396,37.58473
19875084,2020-11-22,Москва,Рестораны Москвы,Рестораны,,Кафе,Токпокки,"Мичуринский проспект,  27, Москва 119607 Россия",55.697475,37.50021
8655624,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,15 Kitchen + Bar,"Пожарский переулок дом 15, Москва 119034 Россия",55.741898,37.600716
12709053,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Остерия Марио,"ул. Земляной Вал, 9, Москва 105064 Россия",55.76127,37.657974
3776509,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Виа Романо,"Лавочкина ул., 34, Москва 125581 Россия",55.856743,37.49256
6111407,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Стейк Хаус Бутчер,"Малая Дмитровка, 20, Москва 127006 Россия",55.77168,37.605026
9555473,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Остерия Марио,"ул. Балтийская, 9, Москва 125315 Россия",55.80879,37.512726
9993375,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Osteria Mario,"Манежная пл.,  1/2, Москва 125009 Россия",55.756237,37.615494
3771230,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Молдова,"Москва, улица Рождественка, дом 7 станция метро Кузнецкий мост, Москва 107031 Россия",55.761868,37.623352
299828,2020-11-22,Москва,Отели Москвы,Отели,,,Гостиница Золотое кольцо,"ул. Смоленская, д. 5, Москва 119121 Россия",55.745365,37.58056
3224218,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,"Ресторан-бар ""Консерватория""","ул. Неглинная, 4 гостиница «Арарат Парк Хаятт Москва», 10 этаж, Москва 109012 Россия",55.760063,37.621326
1058462,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Мари Vanna,"Спиридоньевский переулок, д. 10а, Москва 123104 Россия",55.762768,37.595528
10670523,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Burger&Pizzetta,"пл. Киевского Вокзала, 2 2 этаж, атриум ""Берлин"", Москва 121059 Россия",55.74517,37.56778
12973757,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Catch Бистро,"ул. Петровка, 30/7, Москва 127006 Россия",55.768177,37.613926
14797625,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Amarena Albero,"Ходынский бульвар 2, Москва 125252 Россия",55.78946,37.538113
1072660,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Рыбный базар,"Трехпрудный пер., д. 10/2, Москва 123001 Россия",55.765625,37.597504
16852002,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Арарат,"Арбат, 32, Москва 119002 Россия",55.749012,37.58974
7289689,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Пинцерия Бонтемпи,"Большой Знаменский переулок, 2-3, Москва 119019 Россия",55.746082,37.60188
