с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,На Шаболовке,"Шаболовка, 7-9, Москва 119049 Россия",55.72676,37.61141
2020-10-23,Московская Область,Красногорский район,Рестораны,,,Пицца Печь,"Советская,  14, Красногорск 143403 Россия",55.829235,37.32206
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Буддаклаб,"Вернадского проспект, 37 к2, Москва 119415 Россия",55.69639,37.54547
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Бар,Паб",Grenkipub,"ул.2-я Рейсовая, 2/5, Москва 119027 Россия",55.60592,37.28724
2020-10-23,Московская Область,Клинский район,Рестораны,,,DripOutCoffee,"ул. Гагарина, 28, Клин 141607 Россия",56.32776,36.72436
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Пекарня,"Кронштадтский бульвар, 3, Москва 125212 Россия",55.83967,37.48674
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Фастфуд,Макдоналдс,"Матвеевская, 9, Москва 119517 Россия",55.70382,37.458847
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Гарибальди,"Академика Пилюгина ул., 4, Москва 117393 Россия",55.67402,37.54228
2020-10-23,Московская Область,Одинцовский район,Рестораны,,Бар,Мечта,"Маршала Жукова, 38, Одинцово 143005 Россия",55.67598,37.25458
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Шоколадница,"Калужское ш., 21-й км, (ТЦ ""Мега Теплый стан""), Москва 142704 Россия",55.60158,37.48321
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Хинкальная CITY,"Генерала Кузнецова ул., 32/65, Москва 109431 Россия",55.6824,37.851017
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Бар,Паб",Джаз арт клуб,"Ленинградский пр-т, д. 20, Москва 125040 Россия",55.78206,37.57584
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Одно Небо,"Севастопольский проспект, 15/1, Москва 117447 Россия",55.68765,37.60436
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Лучанос Пицца,"Троилинский пер., 3 стр. 1, Москва 119002 Россия",55.74828,37.58445
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Antrecote&Co,"Новый Арбат ул., 36 строение 3 ТЦ ""Сфера"", Москва 121099 Россия",55.75208,37.58187
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Prawns,"Комсомольский проспект, д. 4, Москва 119021 Россия",55.733685,37.59257
