с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Сушимания,"ул. Анохина, д. 29, Петрозаводск 185000 Россия",61.78014,34.35759
2020-10-22,Республика Карелия,Калевала,Рестораны,,Кафе,Кафе ВелТ,"ул. Советская, 28А, Калевала 186910 Россия",65.19689,31.18237
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Solo Burger Bar,"Ул. Максима Горького, 25, Петрозаводск 185035 Россия",61.78595,34.36033
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Смайл,"пр. Первомайский, 4Б, Петрозаводск 185001 Россия",61.79323,34.34814
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Кафе,Парижанка,"Карла Маркса проспект, 22, Петрозаводск 185035 Россия",61.78789,34.369915
2020-10-22,Республика Карелия,Сортавала,Рестораны,,,Сердоболь,"2-я Пристанская 1, Сортавала Россия",61.69954,30.693295
2020-10-22,Республика Карелия,Беломорск,Рестораны,,,Поморская Кухня,"ул. Первомайская, 18, Беломорск 186500 Россия",64.52408,34.764248
2020-10-22,Республика Карелия,Сопоха,Рестораны,,,Рыбка,"Трасса ""Кола"" ул. Геологов, 1, Сопоха 186214 Россия",62.3467,33.999058
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,"Бар,Паб",Бар 3/4,"пр. Ленина 37, Петрозаводск Россия",61.785404,34.34865
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Saloon Sanches,"Ленина проспект, д. 26, Петрозаводск 185035 Россия",61.788055,34.35652
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,У Али,"Зайцева, 64а/1, Петрозаводск 185031 Россия",61.81726,34.31073
2020-10-22,Республика Карелия,Сортавала,Рестораны,,,Кинза,"Карельская,  31, Сортавала 186790 Россия",61.704967,30.6947
2020-10-22,Республика Карелия,Лахденпохский район,Рестораны,,,Кафе Рундучок,"ул. Набережная, 2A, Лахденпохья 186730 Россия",61.51778,30.202969
2020-10-22,Республика Карелия,Сортавала,Рестораны,,,"ТОЧКА° НА' КАРТЕ""",Сортавала 186790 Россия,61.82449,30.636318
2020-10-22,Республика Карелия,Сортавала,Рестораны,,,Krona Kafe,"Ul. Kirova 6, Сортавала 186790 Россия",61.70255,30.693886
2020-10-22,Республика Карелия,Пудож,Рестораны,,,"Кафе-бар ""Уют""","Комсомольская, 65, Пудож 186150 Россия",61.814342,36.534515
2020-10-22,Республика Карелия,Питкяранта,Рестораны,,Кафе,Dolce Cafe,"ул. Ленина, 40, Питкяранта 186810 Россия",61.56904,31.47717
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Паб,Кафе от Валентина,"Первомайский проспект, 2, Петрозаводск 185001 Россия",61.79323,34.34814
2020-10-22,Республика Карелия,п. Ниэмелянхови,Рестораны,,,"Ресторан ""LADOGA""","ул.Озерная, д. 1, п. Ниэмелянхови 186792 Россия",61.609077,30.564905
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,"Бар,Паб",Паб 119,"пр. Ленина,  д. 26, Петрозаводск 185035 Россия",61.788303,34.356632
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Кафе,У Марифа,"Ровио, 3, Петрозаводск 185011 Россия",61.765705,34.38718
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Кафе NORD,"ул. Куйбышева, 17 перекресток ул.Ленина и Куйбышева, Петрозаводск 185005 Россия",61.792885,34.373386
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Ресторан Бульвар,"ул. Куйбышева, 26 Cosmos Petrozavodsk Hotel, Петрозаводск 185035 Россия",61.795757,34.372692
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,"Бар,Паб",Толстый Goose,"Первомайский пр., 9, Петрозаводск Россия",61.79323,34.34814
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Быстрые перекусы,Пекарня Беккер,"пл. Гагарина, 2, Петрозаводск 185035 Россия",61.78526,34.34495
2020-10-22,Республика Карелия,Медвежьегорск,Рестораны,,,Едем&Едим,"ул. Верхняя, д. 61, Медвежьегорск 186350 Россия",62.92201,34.40698
2020-10-22,Республика Карелия,Сортавала,Рестораны,,"Кафе,Фастфуд",Кафе Сеурахуоне,"ул. Карельская, 22, Сортавала 186790 Россия",61.70176,30.688547
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Кафе,Crema Caffe,"пр. Ленина, 17, Петрозаводск Россия",61.789986,34.363335
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,,Миндаль,"ул. Ленина, 21, Петрозаводск 185000 Россия",61.78939,34.36106
2020-10-22,Республика Карелия,д. Рауталахти,Рестораны,,Кафе,Приладожье,"Центральная ул., 84, д. Рауталахти 186805 Россия",61.75545,30.891893
2020-10-22,Республика Карелия,Рускеала,Рестораны,,,Кафе Русколка,"ул. Мраморная, 3, Рускеала 186759 Россия",61.944466,30.579353
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Кафе,Оттолина,"Ленина проспект, д. 7, Петрозаводск 185035 Россия",61.792435,34.371277
2020-10-22,Республика Карелия,Сортавала,Рестораны,,,"Ресторан ""Пийпун Пиха""","ул. Промышленная , 44, Сортавала 186790 Россия",61.702168,30.71093
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Бар,Ресторан Пауланер,"пл. Гагарина, 1, Петрозаводск 185035 Россия",61.784374,34.346607
2020-10-22,Республика Карелия,Петрозаводск,Рестораны,,Бар,Бавариус,"Октябрьский проспект, д. 13, Петрозаводск 185031 Россия",61.801136,34.33983
2020-10-22,Республика Карелия,Сортавала,Рестораны,,,Ресторан Густав Винтер,"Республика Карелия, город Сортавала, Сортавала 186792 Россия",61.653046,30.687258
2020-10-22,Республика Карелия,Сортавала,Рестораны,,Кафе,Акуловка,"ул. Суворова, 1, Сортавала 186790 Россия",61.70098,30.68994
2020-10-22,Республика Карелия,Медвежьегорск,Отели,,,Медвежка,"ул.Омелина, д.2, Медвежьегорск 186350 Россия",62.91382,34.51509
2020-10-22,Республика Карелия,Сортавала,Рестораны,,"Бар,Кафе",Кафе Релакс,"ул. Карельская, д. 29, Сортавала 186790 Россия",61.70415,30.692902
