с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
15038542,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,"Быстрые перекусы,Фастфуд",#промрыба,"угол ул. Горького, Крымской и Гагарина, Зеленоградск 238530 Россия",54.96042,20.481497
6398329,2020-12-15,Калининградская область,Калининград,Рестораны,,,Чайковский,"ул. Чайковского, 43 The Tchaikovsky Restaurant at the Tchaikovsky Hotel, Калининград 236000 Россия",54.725895,20.483086
8627496,2020-12-15,Калининградская область,Калининград,Рестораны,,,Пеперончино,"Str. Elena Kovalchuk, 5-7, Калининград 236000 Россия",54.719913,20.473993
3767900,2020-12-15,Калининградская область,Калининград,Рестораны,,,Табаско,"пр. Победы д. 137, Калининград 236010 Россия",54.710163,20.443722
6129903,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Новый Очаг,"Октябрьская, 19, Светлогорск Россия",54.944767,20.152435
12122522,2020-12-15,Калининградская область,Калининград,Рестораны,,Кафе,Браво Италия,"Ленинский проспект, 30 ТРЦ Плаза, 3 этаж, Калининград 236006 Россия",54.711063,20.50841
3768000,2020-12-15,Калининградская область,Калининград,Рестораны,,Бар,Баварский ресторан Zotler Bier,"Ленинский проспект, 3, Калининград 236006 Россия",54.71838,20.50182
632403,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Мартон Палас,"пер. Большевистский, 3, Калининград 236039 Россия",54.696873,20.504814
6023913,2020-12-15,Калининградская область,Калининград,Рестораны,,"Бар,Паб","Бар ""Пират Хауз""","Эпроновская ул., 9/13, Калининград 236039 Россия",54.70121,20.513618
3754751,2020-12-15,Калининградская область,Калининград,Рестораны,,,Хофбург,"Октябрьская ул., 6A Kaiserhof Hotel, Калининград 236006 Россия",54.702915,20.515383
6743155,2020-12-15,Калининградская область,Калининград,Рестораны,,Паб,Корнер Паб,"Больничная, 21-29, Калининград 236006 Россия",54.71202,20.503908
8816563,2020-12-15,Калининградская область,Калининград,Рестораны,,,Табаско Европа,"Театральная 30, Калининград 236000 Россия",54.717735,20.500261
6743883,2020-12-15,Калининградская область,Калининград,Рестораны,,Бар,Британника,"ул. Карла Маркса 18, Калининград 236022 Россия",54.728443,20.481176
677304,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Роял Фолк Резорт,"ул. Ленина, 1Б, Светлогорск 238560 Россия",54.943043,20.166033
13286043,2020-12-15,Калининградская область,Калининград,Отели,,,Европа отель и аппартаменты,"ул. Театральная 30, Калининград 236006 Россия",54.717495,20.500278
14412001,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Мадам Эль,"Гагарина, 15, Светлогорск 238560 Россия",54.9412,20.158155
300491,2020-12-15,Калининградская область,Калининград,Отели,,,Параисо,"ул. Тургенева, д. 32а, Калининград 236008 Россия",54.73647,20.522196
6124713,2020-12-15,Калининградская область,Калининград,Отели,,,ЭРА СПА,"Калининградская ул., 35А поселок Большое Исаково, Калининград 238311 Россия",54.722763,20.598557
2696375,2020-12-15,Калининградская область,Калининград,Отели,,,Золотая Бухта,"ул. Богдана Хмельницкого, д. 53, Калининград 236039 Россия",54.69734,20.508486
1536328,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Турист,"ул. А.Невского, д. 53, Калининград 236041 Россия",54.731754,20.530552
300415,2020-12-15,Калининградская область,Калининград,Отели,,,Альбертина,"ул. Демьяна Бедного, д. 13а, Калининград 236029 Россия",54.744377,20.513994
6217873,2020-12-15,Калининградская область,Калининград,Отели,,,"Гостиница ""Чайковский""","ул.Чайковского 43, Калининград 236000 Россия",54.72605,20.483059
1958628,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Шкиперская,"ул. Октябрьская, 4А, Калининград 236006 Россия",54.704544,20.51481
13122373,2020-12-15,Калининградская область,Калининград,Отели,,,Crystal House Suite Hotel & SPA,"ул. Сергеева 4, Калининград 230040 Россия",54.715027,20.5159
14792431,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Local,"ул.Гагарина 15, Светлогорск 238560 Россия",54.941338,20.15837
4751630,2020-12-15,Калининградская область,Калининград,Отели,,,Отель Ибис Калининград Центр,"Московский проспект, дом 52, Калининград 236029 Россия",54.70923,20.50681
3778396,2020-12-15,Калининградская область,Калининград,Рестораны,,,"Немецкий ресторан ""Тётка Фишер""","Шевченко ул., 11а, Калининград 236040 Россия",54.711536,20.510885
14178807,2020-12-15,Калининградская область,Калининград,Отели,,,Меркюр Калининград,"Озёрный проезд, 2, Калининград 236040 Россия",54.72137,20.516466
1845653,2020-12-15,Калининградская область,Калининград,Отели,,,Radisson Отель,"площадь Победы, 10, Калининград 236010 Россия",54.719845,20.504745
1200693,2020-12-15,Калининградская область,Калининград,Отели,,,Отель Кайзерхоф,"ул. Октябрьская, д. 6а, Калининград 236006 Россия",54.702972,20.515627
15242560,2020-12-15,Калининградская область,Калининград,Рестораны,,,Угли,"пр-т Мира, 19, Калининград 236022 Россия",54.719307,20.487656
740021,2020-12-15,Калининградская область,Светлогорский район,Рестораны,,,Дом рыбака,"Береговой пер., д. 1, Светлогорск 238560 Россия",54.945744,20.146732
