с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Мини-отель На Ильинке,"пер. Крутой, д. 6В, Нижний Новгород 603109 Россия",56.32634,43.99163
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Ярослав Hotel & Spa,"ул.Большая Покровская 25, Нижний Новгород 603005 Россия",56.32125,43.99885
2020-10-22,Нижегородская область,Нижний Новгород,Рестораны,,,GAUCHO Bar.B.Q. & Grill,"ул. Алексеевская, 10/16 6 этаж, Нижний Новгород 603005 Россия",56.322495,44.00637
2020-10-22,Нижегородская область,Нижний Новгород,Достопримечательности,Музеи,Специализированные музеи,Нижегородский государственный художественный музей,"Кремль, 3 Inside Kremlin, Нижний Новгород 603082 Россия",56.32929,44.006466
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Бугров Хостел,"ул. Советская, 20, Нижний Новгород 603002 Россия",56.32373,43.951
2020-10-22,Нижегородская область,Дзержинск,Отели,,,БерЛога,"Ленинского Комсомола проспект, 37, Дзержинск 606002 Россия",56.24595,43.41611
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Стригино,"Гнилицкая улица, д. 139, Нижний Новгород 603069 Россия",56.20906,43.75716
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Акварель,"ул. Тимирязева, д. 3б, Нижний Новгород 603022 Россия",56.305122,43.99659
2020-10-22,Нижегородская область,Заволжье,Отели,,,Усадьба Жемчужная,"Левый берег реки Волга, Заволжье 428003 Россия",56.15726,47.39163
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,New House Mini-Hotel,"ул. Новая, 15, Нижний Новгород 603000 Россия",56.312946,43.991837
2020-10-22,Нижегородская область,Дивеево,Отели,,,Гостевой Дом Благовест,"Улица Восточная,22, Дивеево 607320 Россия",55.04626,43.25625
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,отель Орион,"Тепличная улица, д. 4, Нижний Новгород 603092 Россия",56.31111,43.8138
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Монарх,"ул. Ульянова, д. 6в, Нижний Новгород 603005 Россия",56.326775,44.009445
2020-10-22,Нижегородская область,Дивеево,Отели,,,Planeta,"ul. Arzamasskaya, 62a, Дивеево 607320 Россия",55.0411,43.23988
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,У домика Петра отель,"Почаинская улица, д. 14, Нижний Новгород 603001 Россия",56.3256,43.99595
2020-10-22,Нижегородская область,Дзержинск,Отели,,,Гостиница Ранчо 636,"ш. Желнинское, д. 8, Дзержинск 606044 Россия",56.210556,43.382244
2020-10-22,Нижегородская область,Дивеево,Отели,,,Гостиница Дивеево,"Комсомольская ул., 4, Дивеево 607320 Россия",55.03723,43.25152
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Мещера,"ул. Сергея Акимова, д. 56, Нижний Новгород 603159 Россия",56.348507,43.92807
2020-10-22,Нижегородская область,Нижний Новгород,Рестораны,,Кафе,Штолле,"Минина и Пожарского площ., 2/2, Нижний Новгород 603005 Россия",56.32443,44.00281
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Домино,"Почаинский Овраг улица, д. 2, Нижний Новгород 603001 Россия",56.32727,43.99598
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель ГОРКИ,"ул. Маслякова, д. 16, Нижний Новгород 603000 Россия",56.315147,43.987625
2020-10-22,Нижегородская область,Арзамас,Отели,,,Диана,"ул. Калинина, д. 34а, Арзамас 607220 Россия",55.39639,43.83122
2020-10-22,Нижегородская область,Арзамас,Отели,,,"Отель ""Реавиль""","ул. Карла Маркса, д. 10, Арзамас 607220 Россия",55.388416,43.817394
