с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
10428175,2020-12-14,Тульская область,Тула,Рестораны,,,Арбат Вилд,"ул. Староникитская, 41, Тула 300041 Россия",54.18731,37.626846
6195328,2020-12-14,Тульская область,Тула,Рестораны,,,Тулица,"Демидовская, 52, Тула 300002 Россия",54.20553,37.6151
6585850,2020-12-14,Тульская область,Богородицк,Рестораны,,,"Ресторан ""Садко""","улица Коммунаров, дом 45, Богородицк 301835 Россия",53.76355,38.13877
21244517,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Кофе на Пятницкой,"Металлистов, 16, Тула 300041 Россия",54.198524,37.61656
6853164,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Бургер-Кинг,"Проспект Ленина,120, Тула 300026 Россия",54.193012,37.61711
8654410,2020-12-14,Тульская область,Тула,Рестораны,,,Бургер Кинг,"Советская улица, 78, Тула 300041 Россия",54.20025,37.61215
6788301,2020-12-14,Тульская область,Ефремов,Рестораны,,,"Суши бар ""Счастье""","Тульское шоссе, 4, Ефремов 301840 Россия",53.14822,38.08709
12486606,2020-12-14,Тульская область,Белёв,Рестораны,,,Cafe Loft,"Площадь Революции, 3, Белёв 301530 Россия",53.806114,36.13596
3250522,2020-12-14,Тульская область,Тула,Рестораны,,,Mafia,"ул. Советская, д. 31, Тула 300041 Россия",54.20025,37.61215
7733637,2020-12-14,Тульская область,Тула,Рестораны,,,Тарелка,"Ленина проспект, 54A 2 этаж, Тула Россия",54.13563,37.58205
14958122,2020-12-14,Тульская область,Тула,Рестораны,,,Boheme Hall,"Станиславского, 49 / Головина, 11, Тула 300012 Россия",54.16345,37.60297
12885610,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Rob Roy Bar,"пр. Ленина, 85/5, Тула 300904 Россия",54.174988,37.59901
6194965,2020-12-14,Тульская область,Новомосковск,Рестораны,,Кафе,Арарат,"Мира, 42, Новомосковск 301668 Россия",54.01185,38.27385
15121483,2020-12-14,Тульская область,Тула,Рестораны,,,Vino Domino,"Советская, 11 Новое городское пространство Искра, Тула 300041 Россия",54.19853,37.611988
6745212,2020-12-14,Тульская область,Тула,Рестораны,,Паб,Хмель и Солод,"Халтурина, 6, Тула 300034 Россия",54.1927,37.59598
14797536,2020-12-14,Тульская область,Тула,Рестораны,,,Сандали,"Центральный Парк Белоусова, Тула Россия",54.1777,37.59299
13444320,2020-12-14,Тульская область,Тула,Рестораны,,,Тeма,"пр. Ленина, 23, Тула 300041 Россия",54.19036,37.61447
6195069,2020-12-14,Тульская область,Тула,Рестораны,,Кафе,Бриошь,"Кутузова, 100, Тула 300027 Россия",54.21292,37.66495
8345120,2020-12-14,Тульская область,Тула,Рестораны,,,Буфет на Красноармейском проспекте,"Красноармейский проспект, 48 корп. 3, Тула 300041 Россия",54.19677,37.61094
13374135,2020-12-14,Тульская область,Тула,Рестораны,,,"Кафе ""Соль""","Проспект Ленина, 35, Тула 300904 Россия",54.13161,37.5726
6195217,2020-12-14,Тульская область,Тула,Рестораны,,,Якитория,"Кутузова, 100, Тула 300027 Россия",54.194263,37.691505
17530100,2020-12-14,Тульская область,Тула,Рестораны,,,Шарден,"Советская, 11, Тула 300041 Россия",54.198166,37.613266
6195211,2020-12-14,Тульская область,Тула,Рестораны,,,Шуры-муры,"Смидович, 1, Тула 300012 Россия",54.16976,37.58859
6195105,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Крошка Картошка,"Советская, 47, Тула 300041 Россия",54.20025,37.61215
6403111,2020-12-14,Тульская область,Тула,Рестораны,,,"Ресторан ""Империя""","ул. Каракозова, 79 Отель Империя, Тула 300001 Россия",54.209328,37.646854
12221817,2020-12-14,Тульская область,Тула,Рестораны,,,Дружба - Пицца бар & гриль,"ул. Пролетарская, 2 ТРЦ Макси, Тула 300001 Россия",54.193542,37.63683
6194977,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Жара,"Московская, 22, Новомосковск 301650 Россия",54.00512,38.29723
6195156,2020-12-14,Тульская область,Тула,Рестораны,,,Самурай,"ул. Демидовская, 119, Тула 300062 Россия",54.20553,37.6151
17409252,2020-12-14,Тульская область,Тула,Рестораны,,,Круг,"Мосина,  6/8, Тула 300041 Россия",54.20114,37.61374
4337496,2020-12-14,Тульская область,Алексин,Рестораны,,,Spar,"ул. Мира, 20, Алексин Россия",54.50311,37.06863
12221725,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Ресторан Компания,"ул. Октябрьская, 36, Тула 300002 Россия",54.209446,37.62035
6195135,2020-12-14,Тульская область,Тула,Рестораны,,,GoldFish,"Болдина, 123, Тула 300028 Россия",54.189705,37.57093
6194975,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Гранатовое зернышко,"Калинина, 24Б, Новомосковск 301650 Россия",54.00488,38.304626
6195162,2020-12-14,Тульская область,Тула,Рестораны,,,Солнышко,"Первомайская, 13а к14, Тула 300053 Россия",54.1808,37.60626
6195322,2020-12-14,Тульская область,Тула,Рестораны,,"Бар,Кафе",Томато,"Ложевая, 125а, Тула 300001 Россия",54.203194,37.643253
6195208,2020-12-14,Тульская область,Тула,Рестораны,,,Чебуречная №1,"Красноармейский проспект, 48 к3, Тула 300041 Россия",54.196316,37.610767
7184795,2020-12-14,Тульская область,Тула,Рестораны,,,Ресторан Багратион холл,"проспект Ленина, 50Г, Тула 300041 Россия",54.184193,37.606216
9749591,2020-12-14,Тульская область,Тула,Рестораны,,,Yes Pizza,"Советская 47 ТРЦ ""Гостиный двор"", Тула 300000 Россия",54.19215,37.61799
8350896,2020-12-14,Тульская область,Тула,Рестораны,,,У Салмана,"Глеба Успенского, 3, Тула 300041 Россия",54.18422,37.61818
6195170,2020-12-14,Тульская область,Тула,Рестораны,,,Тарелка,"Советская, 47, Тула 300041 Россия",54.20025,37.61215
8345824,2020-12-14,Тульская область,Тула,Рестораны,,,Кофе Культ,"Каминского, 27, Тула 300041 Россия",54.189304,37.61144
10524091,2020-12-14,Тульская область,Тула,Рестораны,,,Pranzo Cafe,"Ленина проспект, 12, Тула 300041 Россия",54.193012,37.61711
15577575,2020-12-14,Тульская область,Тула,Рестораны,,,Домино'с Пицца,"Проспект Ленина, 32, Тула 300041 Россия",54.19352,37.616
9707253,2020-12-14,Тульская область,Новиково,Рестораны,,,Клубный ресторан Капитан,Новиково Россия,54.71533,37.507343
6195040,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Макдональдс,"Ленина проспект, 96, Тула 300028 Россия",54.16582,37.58596
7215068,2020-12-14,Тульская область,Тула,Рестораны,,,Для своих,"Союзная, 3, Тула 300041 Россия",54.19606,37.61594
10285556,2020-12-14,Тульская область,Тула,Рестораны,,"Бар,Паб",Олб Бой Бар,"Проспект Ленина, 85, Тула 300012 Россия",54.1762,37.59976
6195200,2020-12-14,Тульская область,Тула,Рестораны,,,Хомяковские поляны,"Хомяковская, 12в, Тула 300908 Россия",54.29063,37.60852
11643660,2020-12-14,Тульская область,Тула,Рестораны,,,Клевер Бар,"ул. Каминского, 24, Тула 300041 Россия",54.18995,37.61156
6195042,2020-12-14,Тульская область,Тула,Рестораны,,Фастфуд,Subway,"Советская, 14, Тула 300041 Россия",54.20025,37.61215
13344660,2020-12-14,Тульская область,Богородицк,Рестораны,,"Бар,Паб",Компот,"Коммунаров, 54, Богородицк 301835 Россия",53.77283,38.13149
7279242,2020-12-14,Тульская область,Ефремов,Рестораны,,Бар,Томато,"ул. Свердлова, 55A, Ефремов 301840 Россия",53.146465,38.113857
6351449,2020-12-14,Тульская область,Тула,Рестораны,,,Ресторан Армения,"ул. Советская, д. 47, Тула 300041 Россия",54.20025,37.61215
17725161,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Суши Маки,"ул. Советская, 58, Тула 300041 Россия",54.192375,37.614594
13003231,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Restaurant U-777,"Октябрьская, 31, Новомосковск 301650 Россия",54.01378,38.29147
12396679,2020-12-14,Тульская область,Тула,Рестораны,,"Бар,Паб",Буратино Rib's Bar,"ул. Фрунзе 13, Тула 300041 Россия",54.20021,37.59034
8346323,2020-12-14,Тульская область,Тула,Рестораны,,,Эско Бар,"Советская, 47 5 этаж, Тула 300041 Россия",54.20025,37.61215
6195066,2020-12-14,Тульская область,Тула,Рестораны,,Бар,Башня,"Красноармейский проспект, 14, Тула 300041 Россия",54.19716,37.602615
6779380,2020-12-14,Тульская область,Алексин,Рестораны,,Бар,Томато,"Ул. Мира 20а, Алексин 301361 Россия",54.54388,37.00367
13402113,2020-12-14,Тульская область,Троицкий,Рестораны,,Кафе,Кафе Тройка,"217 км Aвтодороги М4 Дон, Троицкий Россия",53.96586,38.017056
