с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Самарская область,Самара,Отели,,,Жигули,"ул. Товарная, 7ш, Самара 443109 Россия",53.23215,50.29161
2020-10-23,Самарская область,Самара,Отели,,,Отель Bliss,"Balakovskaya Ulitsa, 6а 1, Самара 443076 Россия",53.18565,50.19554
2020-10-23,Самарская область,Самара,Отели,,,Hotel 24 House,"Ул. Революционная, 154, Самара 443069 Россия",53.19362,50.17947
2020-10-23,Самарская область,Самара,Отели,,,Apartments Maria,"Novo-Sadovaya St., 220, Самара 443011 Россия",53.20633,50.12784
2020-10-23,Самарская область,Самара,Отели,,,Русская Баня,"5-Y Kvartal Poselok Yuzhnyy 2А Снт сокол 68, Самара 443048 Россия",53.20581,50.175022
2020-10-23,Самарская область,Самара,Отели,,,Ладья База Отдыха Отдел Продаж,"Остров Зеленая роща, Самара Россия",53.20581,50.175022
2020-10-23,Самарская область,Самара,Отели,,,Hostel Na Tihvinskoy,"ul. Tikhvinskaya 24, Ap. 26, Самара 443011 Россия",53.22987,50.1893
2020-10-23,Самарская область,Самара,Отели,,,Stara Zagora 305,"Ulitsa Stara-Zagora 305 7, Самара 443106 Россия",53.25348,50.26285
2020-10-23,Самарская область,Самара,Отели,,,Гостиница «Зеркало»,"Ulitsa Chapaevskaya 72, Самара 443099 Россия",53.18421,50.09131
2020-10-23,Самарская область,Самара,Отели,,,Коттедж АРТ,"9-Я Прсека 7-Я Линия 22 А, Самара 443031 Россия",53.27406,50.18844
2020-10-23,Самарская область,Самара,Отели,,,Chastnyi Dom,"Ulitsa Atkarskaya 36, Самара 443016 Россия",53.22424,50.22124
2020-10-23,Самарская область,Самара,Отели,,,Apartament Na Novo-Sadovoi 106,"Novo-Sadovaya Ulitsa 106 - 0, Самара 443068 Россия",53.2168,50.14838
2020-10-23,Самарская область,Самара,Отели,,,Apartment on Avrory 217,"Ulitsa Avrory 217, Самара 443080 Россия",53.21402,50.19123
2020-10-23,Самарская область,Самара,Отели,,,Ника,"Ulitsa Alma-Atinskaya Ветляное озеро 164A, Самара 443000 Россия",53.27085,50.25795
2020-10-23,Самарская область,Самара,Отели,,,Sdam Kvartiru Na Vremya CHM 2018,"Fizkul'turnaya Ulitsa 31-80, Самара 443008 Россия",53.20581,50.175022
2020-10-23,Самарская область,Самара,Отели,,,Мелиоратор,". Саратовское водохранилище, Самара 443035 Россия",53.0,48.5
2020-10-23,Самарская область,Самара,Отели,,,ROOMS Apartments,"ул. Пятая просека, д. 95А, Самара 443124 Россия",53.24415,50.18304
2020-10-23,Самарская область,Самара,Отели,,,Заозерная База Отдыха,"Дзержинского 6, Самара 443069 Россия",53.19532,50.17489
2020-10-23,Самарская область,Самара,Отели,,,Макхолл,"Революционная, 146в, Самара 443069 Россия",53.19411,50.179874
2020-10-23,Самарская область,Ставропольский район,Отели,,,Караяз,"ул. Мира, д. 41в, с. Васильевка 445130 Россия",53.55225,49.53006
