с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
6050515,2020-12-15,Краснодарский край,Новороссийск,Рестораны,,,Золотая Подкова,"ул.Малоземельская, 8/10, Новороссийск 353922 Россия",44.687756,37.76824
3770672,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Когалым,"Ставропольская, 2/1, Краснодар 350033 Россия",45.0126,38.97962
10532902,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,B.S.F.,"ул.Орджоникидзе 5А, Сочи 354000 Россия",43.57969,39.72325
6375967,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,LTD LSB-14,"Gornaya Karusel St., 3, Эсто-Садок, Сочи 354392 Россия",43.683674,40.26021
6033647,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Beshka,"Северная, 375, Краснодар 350002 Россия",45.0469,38.93127
13173898,2020-12-15,Краснодарский край,Абинск,Рестораны,,,Еburg,"ул. Интернациональная, 33а, Абинск 353320 Россия",44.85979,38.15149
8348326,2020-12-15,Краснодарский край,Динская,Рестораны,,,Нюта-Пицца,"Красная, 72а, Динская 353200 Россия",45.2893,39.30361
10354657,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Теремок,"ул. Красная, 78, Краснодар Россия",45.02939,38.97238
8351526,2020-12-15,Краснодарский край,Новотитаровская,Рестораны,,,"Закусочная на Октябрьской, 68/1","Октябрьская, 68/1 киоск, Новотитаровская 353211 Россия",45.24516,38.99709
12405256,2020-12-15,Краснодарский край,Каневская,Рестораны,,,Солнечный Бриг,"ул. Черноморская, 1Б, Каневская 353730 Россия",46.08676,38.97822
6025241,2020-12-15,Краснодарский край,Цемдолина,Рестораны,,,Аргос,"Ленина, 141Б, Цемдолина 353960 Россия",44.75079,37.72776
19100603,2020-12-15,Краснодарский край,Тимашевск,Рестораны,,,Изюминка,"Пролетарская, 3, Тимашевск 352700 Россия",45.62714,38.94061
14126758,2020-12-15,Краснодарский край,Ольгинка,Рестораны,,,Райский Уголок,"Пляжная зона,дом №1, Ольгинка 352840 Россия",43.42538,39.91622
7658105,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Пекарня Лавка,"ул. Котлярова, 17, Краснодар 350005 Россия",45.070164,39.011005
17560341,2020-12-15,Краснодарский край,Новороссийск,Рестораны,,Бар,Barbaris,"набережная Адмирала Серебрякова, 8 Второй Этаж, Новороссийск 353900 Россия",44.708412,37.787144
9791578,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Любо-Дорого,"ул. Головатого, 313 ТРЦ Галерея, Краснодар 350000 Россия",45.04547,38.93153
8537293,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Суши Панда,"ул. Цветочная, 44/4, Сочи 354340 Россия",43.416298,39.927135
14149845,2020-12-15,Краснодарский край,Краснодар,Рестораны,,"Кафе,Фастфуд",GirosCafe,"ул. Головатого,  311 ТРК Галерея-Краснодар, Краснодар 350000 Россия",45.043816,38.937428
3604557,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Ирина,"ул. Гребенская,1 на пересечении с ул. Набережной, Анапа Россия",44.89918,37.31906
12412203,2020-12-15,Краснодарский край,Джубга,Рестораны,,Фастфуд,Subway,"ул. Черноморская, 66Г, Джубга 352844 Россия",44.31366,38.701996
17605504,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,BAZAR БУФЕТ,"Московская, 3/4, Сочи 354000 Россия",43.592133,39.726234
5026449,2020-12-15,Краснодарский край,Краснодар,Рестораны,,"Кафе,Фастфуд","Кафе ""Токс""","ул. Урицкого, 30, Краснодар 350004 Россия",45.04318,38.93464
6002863,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Яна,"Ленина, 219Б/9, Сочи 354382 Россия",43.45429,39.95421
6063236,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Дон Кихот,"Красноармейская, 13, Анапа 353440 Россия",44.89798,37.323486
6024925,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Меланж,"Бабушкина, 261, Краснодар 350049 Россия",45.05294,38.93342
6024893,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Старое Ранчо,"Береговая, 146 ст6, Краснодар 350007 Россия",45.02308,38.95488
8510288,2020-12-15,Краснодарский край,Анапа,Рестораны,,,Натюрлих,"ул. Набережная, д.17, Анапа 353440 Россия",44.9082,37.365
6024980,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Шашлычный двор,"Российская, 255, Краснодар 350029 Россия",45.04588,39.01839
6024936,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Фастфуд,Покровская,"Промышленная, 33, Краснодар 350002 Россия",45.04189,38.98091
6025033,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Фастфуд,Хот Спот,"Димитрова, 127, Краснодар 350040 Россия",45.0027,39.02162
6044919,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Фастфуд,Мила,"ул.Калинина, 466/1, Краснодар 350000 Россия",45.01867,38.98862
12312159,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Кафе Юань,"30-Й Иркутской Дивизии, 6/1, Краснодар 350088 Россия",45.03817,39.10449
6028508,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Park Cafe,"Октябрьская, 25/1, Краснодар 350063 Россия",45.01343,38.96298
6033665,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Галант Кафе,"Дзержинского, 100, 3-ий этаж Mega Centre Red Square, Краснодар 350005 Россия",45.10062,38.98656
8344277,2020-12-15,Краснодарский край,Краснодар,Рестораны,,"Бар,Паб",Эназе Бар,"Северная, 19, Краснодар 350004 Россия",45.0469,38.93127
6025034,2020-12-15,Краснодарский край,Анапа,Рестораны,,Кафе,Союз,"Ленина, 161, Анапа 353454 Россия",44.89641,37.30487
