с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
15181084,2020-12-15,Липецкая область,Данков,Рестораны,,,Кафе Огни,"Мира, 11, Данков 399850 Россия",53.24642,39.14779
19436272,2020-12-15,Липецкая область,Липецк,Рестораны,,,Тарантино,"Бехтеева, 10, Липецк 398070 Россия",52.53901,39.5945
17528373,2020-12-15,Липецкая область,Большая Кузьминка,Рестораны,,,Гутен Таг,"Берёзовая, 8Б, Большая Кузьминка 398508 Россия",52.74971,39.70657
14075085,2020-12-15,Липецкая область,Липецк,Рестораны,,Кафе,Rioba,"ул. 50 Лет НЛМК , 8, Липецк 398059 Россия",52.58761,39.58793
16695807,2020-12-15,Липецкая область,Липецк,Рестораны,,,Saxar,"ул. Московская, 75А, Липецк 398055 Россия",52.60799,39.51431
6189187,2020-12-15,Липецкая область,Липецк,Рестораны,,,Кафе 82,"Петра Великого площадь, 1, Липецк 398001 Россия",52.60219,39.60593
7295633,2020-12-15,Липецкая область,Липецк,Рестораны,,,Кафе Онегин,"ул. Космонавтов, 110, Липецк 398042 Россия",52.61791,39.58238
6189192,2020-12-15,Липецкая область,Липецк,Рестораны,,Кафе,Coffee On Your Way,"Белана, 26, Липецк 398036 Россия",52.58468,39.50712
6744672,2020-12-15,Липецкая область,Липецк,Рестораны,,Паб,Пивбург,"Ушинского, 8, Липецк 398007 Россия",52.63693,39.66159
8344726,2020-12-15,Липецкая область,Липецк,Рестораны,,"Бар,Паб",Бирвиль,"Желябова, 31, Липецк 398050 Россия",52.61257,39.60453
8344677,2020-12-15,Липецкая область,Липецк,Рестораны,,"Бар,Паб",Бавария,"Мира проспект, 16, Липецк 398005 Россия",52.59109,39.61616
6189384,2020-12-15,Липецкая область,Липецк,Рестораны,,,Фауст,"Карла Маркса, 5, Липецк 398001 Россия",52.60455,39.59868
6189296,2020-12-15,Липецкая область,Липецк,Рестораны,,,Мангал,"Газина, 12а, Липецк 398026 Россия",52.63459,39.65878
16851523,2020-12-15,Липецкая область,Чаплыгин,Рестораны,,,Старый РаненбургЪ,"Володарского,  д. 49, Чаплыгин 399900 Россия",53.23607,39.95849
6745093,2020-12-15,Липецкая область,Липецк,Рестораны,,Паб,Три богатыря,"Ленина, 33, Липецк 398020 Россия",52.60973,39.60182
6744372,2020-12-15,Липецкая область,Липецк,Рестораны,,Паб,Кружка,"Терешковой, 13а, Липецк 398002 Россия",52.62171,39.56761
8349576,2020-12-15,Липецкая область,Липецк,Рестораны,,,Шашлычная №1,"Максима Горького, 11а, Липецк 398001 Россия",52.60003,39.58543
8345203,2020-12-15,Липецкая область,Липецк,Рестораны,,Фастфуд,Бургер Кинг,"Советская, 66, Липецк 398001 Россия",52.65679,39.72761
6189188,2020-12-15,Липецкая область,Липецк,Рестораны,,Кафе,Chelsea,"Советская, 66, Липецк 398001 Россия",52.60628,39.57727
13239408,2020-12-15,Липецкая область,Липецк,Рестораны,,"Паб,Гастропаб","Гастробар ""Щепка""","Ул. Стаханова, Д.2, Липецк 398000 Россия",52.59613,39.53492
10836907,2020-12-15,Липецкая область,Конь-Колодезь,Рестораны,,,Самолет,"трасса М4 Дон, Конь-Колодезь 399281 Россия",52.11835,39.18861
11637362,2020-12-15,Липецкая область,Чаплыгин,Рестораны,,,Кафе Plaza,"ул. Советская, 39, Чаплыгин 399900 Россия",53.23403,39.98527
8785210,2020-12-15,Липецкая область,Елец,Рестораны,,"Бар,Паб",Rigel Restaurant,"Радиотехническая улица, 1а, Елец 399774 Россия",52.61176,38.47675
6189242,2020-12-15,Липецкая область,Липецк,Рестораны,,,Глория,"Краснозаводская, 2ж, Липецк 398006 Россия",52.54508,39.57695
6189363,2020-12-15,Липецкая область,Липецк,Рестораны,,,Страйк,"Липовская, 5, Липецк 398002 Россия",52.61421,39.58925
6189376,2020-12-15,Липецкая область,Липецк,Рестораны,,,Трактиръ,"Ушинского, 8, Липецк 398007 Россия",52.63693,39.66159
6744295,2020-12-15,Липецкая область,Липецк,Рестораны,,"Бар,Паб",Кино,"Кузнечный пер, 20, Липецк 398050 Россия",52.61059,39.59441
8346450,2020-12-15,Липецкая область,Липецк,Рестораны,,,Феста,"9 Мая, 22, Липецк 398017 Россия",52.57406,39.6173
6189369,2020-12-15,Липецкая область,Липецк,Рестораны,,,Траттория,"Космонавтов, 98, Липецк 398042 Россия",52.61791,39.58238
6185062,2020-12-15,Липецкая область,Липецк,Рестораны,,,Охота,"Петра Великого площадь, 1, Липецк 398001 Россия",52.60219,39.60593
6189269,2020-12-15,Липецкая область,Липецк,Рестораны,,Кафе,Истоки,"Театральная площадь, 1, Липецк 398019 Россия",52.605034,39.58981
6189795,2020-12-15,Липецкая область,Липецк,Рестораны,,,Губернская,"Кузнечная, 8, Липецк 398050 Россия",52.60751,39.59685
8376970,2020-12-15,Липецкая область,Липецк,Рестораны,,"Бар,Паб",Янтарный Двор,"ул. Тельмана, 90, Липецк 398002 Россия",52.61854,39.60103
15038575,2020-12-15,Липецкая область,Липецк,Рестораны,,Кафе,Вобла,"Свиридова, 2, Липецк 398027 Россия",52.58054,39.50216
