category,city,name,region,subcategory,tags
Достопримечательности,Великий Новгород,Музейный цех фарфора,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Великий Новгород,Десятинный Рождества Богородицы монастырь,Новгородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Великий Новгород,Церковь Петра и Павла в Кожевниках,Новгородская область,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Чудово,Церковь Казанской иконы Божией Матери,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Валдай,Свято-Троицкий Собор,Новгородская область,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Церкви и соборы"
Достопримечательности,Великий Новгород,Церковь святых благоверных князей Бориса и Глеба,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Воротная башня Гостиного двора,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Боровичский район,Свято-Успенский Кафедральный Собор,Новгородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Церкви и соборы,Исторические достопримечательности,Больше,Культурные объекты и достопримечательности,Священные места и религиозные достопримечательности, "
Достопримечательности,Великий Новгород,Церковь Георгия на Торгу,Новгородская область,Достопримечательности и культурные объекты,"Церкви и соборы,Исторические музеи"
Достопримечательности,Великий Новгород,Церковь Рождества Пресвятой Богородицы в Перынском Ските,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Боровичский район,Гигантский стул,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности"
Достопримечательности,Великий Новгород,Новгородский академический театр драмы им. Ф.М.Достоевского,Новгородская область,Концерты и представления,Театры
Достопримечательности,Великий Новгород,Антониев монастырь,Новгородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Церкви и соборы,Исторические достопримечательности,Больше,Священные места и религиозные достопримечательности, "
Достопримечательности,Боровичский район,Часовня Нила Столобенского,Новгородская область,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Архитектурные достопримечательности,Церкви и соборы"
Достопримечательности,Великий Новгород,Церковь Симеона Богоприимца,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Торгово-развлекательный центр Мармелад,Новгородская область,Покупки,Торговые центры
Достопримечательности,Боровичский район,Подземная река Понеретка,Новгородская область,Природа и парки,Водоемы
Достопримечательности,Великий Новгород,Покровский собор,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Церковь Жён-мироносиц,Новгородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Церкви и соборы"
Достопримечательности,Великий Новгород,Церковь Успения Богородицы на Волотовом поле,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Великий Новгород,Римско-католическая церковь святых апостолов Петра и Павла,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Телебашня НОРТПЦ,Новгородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Великий Новгород,"Скульптора ""Кошки охотятся на голубей""",Новгородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Великий Новгород,Памятник птице Сирин,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности"
Достопримечательности,Старая Русса,Памятник воинам 86-го пехотного Вильманстрандского полка,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности"
Достопримечательности,Боровичский район,Собор Святой Троицы,Новгородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Церкви и соборы,Больше,Культурные объекты и достопримечательности,Священные места и религиозные достопримечательности,Прогулки по живописной местности, "
Достопримечательности,Боровичский район,Памятник Суворову,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Исторические достопримечательности,Больше,Культурные объекты и достопримечательности,Исторические места для прогулок, "
Достопримечательности,Великий Новгород,"Обелиск в честь подвига И.С. Герасименко, А.С. Красилова и Л.А. Черемнова",Новгородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Коростынь,Путевой дворец Александра I,Новгородская область,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Великий Новгород,Юрьевский Пляж,Новгородская область,Природа и парки,Пляжи
Достопримечательности,Великий Новгород,Стела Город воинской славы,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Архитектурные достопримечательности,Исторические достопримечательности,Больше,Культурные объекты и достопримечательности, "
Достопримечательности,Великий Новгород,Деревяницкий монастырь,Новгородская область,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Исторические достопримечательности,Культурные объекты и достопримечательности"
